Communication Rounds,Global Accuracies,Global Losses
1,32.365145228215766,1.6624780595302582
2,59.128630705394194,1.3958249539136887
3,26.141078838174273,1.6747549921274185
4,51.2448132780083,1.8556053079664707
5,32.98755186721991,1.5090047270059586
6,54.77178423236514,1.4145360589027405
7,45.22821576763486,1.1692055761814117
8,62.863070539419084,1.314746517688036
9,45.22821576763486,1.2291125729680061
10,63.07053941908714,1.3052730485796928
11,46.47302904564315,1.0971964299678802
12,64.52282157676349,1.1977213714271784
13,48.3402489626556,1.0063773915171623
14,64.73029045643153,1.1683231741189957
15,49.79253112033195,0.991548977792263
