Communication Rounds,Global Accuracies,Global Losses
1,61.82572614107884,1.1697322130203247
2,74.48132780082987,0.8519141525030136
3,78.00829875518673,0.6992286890745163
4,81.53526970954357,0.6026401743292809
5,84.64730290456431,0.5389573276042938
6,86.92946058091286,0.4933030679821968
7,89.00414937759336,0.44257334619760513
8,89.83402489626556,0.3941459134221077
9,90.66390041493776,0.3663226291537285
10,91.07883817427386,0.336946751922369
11,92.5311203319502,0.29345472157001495
12,94.39834024896265,0.26416267827153206
13,93.56846473029046,0.24855752289295197
14,94.39834024896265,0.22605471312999725
15,95.22821576763485,0.2043326273560524
16,95.850622406639,0.18710876442492008
17,95.850622406639,0.17153054289519787
18,96.2655601659751,0.15898908860981464
19,96.6804979253112,0.14386719837784767
20,96.47302904564316,0.13169869035482407
21,96.88796680497926,0.12783853523433208
22,96.6804979253112,0.11916250456124544
23,97.30290456431536,0.10088151413947344
24,96.88796680497926,0.10254963021725416
25,97.5103734439834,0.10205781739205122
26,97.5103734439834,0.08662967663258314
27,97.30290456431536,0.08915684558451176
28,97.5103734439834,0.07927492260932922
29,97.5103734439834,0.08225578116253018
30,97.5103734439834,0.08354319026693702
31,97.71784232365145,0.07090598996728659
32,97.9253112033195,0.0729652950540185
33,97.71784232365145,0.07377523742616177
34,97.71784232365145,0.07256869040429592
35,97.9253112033195,0.06469348212704062
36,98.13278008298755,0.061444624327123165
37,97.9253112033195,0.06847430067136884
38,97.9253112033195,0.06384354503825307
39,97.71784232365145,0.06665158877149224
40,97.71784232365145,0.06513125589117408
41,97.9253112033195,0.06512389238923788
42,97.9253112033195,0.058690806617960334
43,97.9253112033195,0.06610944331623614
44,97.9253112033195,0.06616587447933853
45,97.9253112033195,0.06697015650570393
46,97.9253112033195,0.06449882918968797
47,97.9253112033195,0.06548361503519118
48,97.9253112033195,0.061886608600616455
49,97.9253112033195,0.0643211854621768
50,97.9253112033195,0.06021788460202515
51,98.34024896265561,0.05656650522723794
52,97.9253112033195,0.06073806248605251
53,97.9253112033195,0.06423198198899627
54,97.9253112033195,0.06368364300578833
55,98.34024896265561,0.06068699457682669
56,98.34024896265561,0.05967543926090002
57,98.34024896265561,0.06317945686168969
58,98.34024896265561,0.06311616254970431
59,98.13278008298755,0.06361171277239919
60,98.34024896265561,0.0630881804972887
61,98.13278008298755,0.0655667046085
62,98.34024896265561,0.057986326050013304
63,98.34024896265561,0.06083667278289795
64,98.34024896265561,0.058929942548274994
65,98.34024896265561,0.05766540765762329
66,97.9253112033195,0.06148715876042843
67,98.34024896265561,0.06319493055343628
68,98.13278008298755,0.05846306518651545
69,98.34024896265561,0.05908531602472067
70,98.34024896265561,0.05656865634955466
71,98.54771784232365,0.062101316172629595
72,98.54771784232365,0.057630060240626335
73,98.13278008298755,0.06488023092970252
74,98.13278008298755,0.06738521717488766
75,98.34024896265561,0.06135201035067439
76,98.13278008298755,0.06921945651993155
77,98.54771784232365,0.06157036032527685
78,98.34024896265561,0.05953932274132967
79,98.13278008298755,0.0655278239864856
80,98.13278008298755,0.06568581773899496
81,98.13278008298755,0.06323018996044993
82,98.34024896265561,0.06306585343554616
83,98.34024896265561,0.06261121248826385
84,98.13278008298755,0.06171371042728424
85,98.13278008298755,0.06762318219989538
86,97.9253112033195,0.07189794117584825
87,98.13278008298755,0.0666083125397563
88,98.34024896265561,0.06275258911773562
89,98.34024896265561,0.0639140885323286
90,98.13278008298755,0.071053855586797
91,98.54771784232365,0.05936692422255874
92,98.34024896265561,0.06395808793604374
93,98.54771784232365,0.0607387931086123
94,98.54771784232365,0.06431463686749339
95,98.54771784232365,0.06845404393970966
96,98.34024896265561,0.06711633177474141
97,98.34024896265561,0.06590658565983176
98,98.34024896265561,0.06193147716112435
99,98.34024896265561,0.06561815924942493
100,98.34024896265561,0.06381342653185129
