Communication Rounds,Global Accuracies,Global Losses
1,14.522821576763485,1.7178285121917725
2,51.2448132780083,1.546611912548542
3,19.70954356846473,2.110507607460022
4,45.643153526970956,1.696466937661171
5,43.36099585062241,1.3012045174837112
6,60.788381742738586,1.3699857220053673
7,42.738589211618255,1.4424198642373085
8,60.58091286307054,1.359782800078392
9,45.643153526970956,1.0738227516412735
10,64.73029045643153,1.1224951073527336
11,46.058091286307054,1.1669077947735786
12,64.10788381742739,1.2248520348221064
13,45.850622406639005,1.1615691557526588
14,66.39004149377594,1.152417840436101
15,48.96265560165975,0.9768925160169601
16,68.04979253112033,1.0578053202480078
17,48.3402489626556,1.0889848098158836
18,66.59751037344398,1.1336637595668435
19,50.4149377593361,1.039825178682804
20,69.29460580912863,0.9787601102143526
21,51.86721991701245,1.0300141125917435
22,68.67219917012449,1.0231246426701546
23,54.149377593360995,0.9446143880486488
24,71.36929460580913,0.9097182331606746
25,56.22406639004149,0.9370733760297298
26,71.16182572614107,0.9003285560756922
27,59.128630705394194,0.8938868492841721
28,71.57676348547717,0.8838124116882682
29,56.22406639004149,0.9723055399954319
30,71.99170124481327,0.8530638543888927
31,61.20331950207469,0.8214891031384468
32,72.82157676348548,0.8659935593605042
33,57.261410788381745,0.9401994682848454
34,71.78423236514523,0.9133278662338853
35,60.995850622406635,0.8135542571544647
36,73.02904564315352,0.8021315727382898
37,59.95850622406639,0.867841649800539
38,73.85892116182572,0.7386706927791238
39,64.31535269709543,0.7795619294047356
40,74.27385892116183,0.7537723211571574
41,63.90041493775934,0.7641050294041634
42,74.68879668049793,0.7251243088394403
43,64.31535269709543,0.7903253436088562
44,73.23651452282158,0.809884225949645
45,63.69294605809129,0.8047000542283058
46,75.10373443983403,0.6934376144781709
47,68.04979253112033,0.7166128233075142
48,77.17842323651452,0.673937582410872
49,69.29460580912863,0.6836726684123278
50,78.21576763485477,0.6448046639561653
51,68.46473029045643,0.7243356518447399
52,79.04564315352697,0.6091067562811077
53,69.29460580912863,0.6846104711294174
54,78.00829875518673,0.6133966026827693
55,70.33195020746888,0.6787557378411293
56,78.83817427385893,0.6082156260963529
57,70.53941908713693,0.6756334584206343
58,78.63070539419087,0.6242659906856716
59,72.61410788381743,0.6168013568967581
60,80.29045643153528,0.5591515060514212
61,74.68879668049793,0.5960256662219763
62,81.74273858921161,0.5140118214767426
63,76.76348547717842,0.576458377763629
64,83.19502074688796,0.45964075974188745
65,77.59336099585062,0.5779083985835314
66,82.15767634854772,0.5257831087801605
67,79.46058091286307,0.49581439048051834
68,85.06224066390041,0.4685117464978248
69,78.63070539419087,0.5474878307431936
70,84.64730290456431,0.465166361304
71,79.66804979253112,0.49066098034381866
72,86.09958506224066,0.4402850840706378
73,79.87551867219916,0.5415752101689577
74,86.72199170124482,0.4038270947057754
75,82.36514522821577,0.44491709768772125
76,87.13692946058092,0.405407382058911
77,82.57261410788382,0.42666192911565304
78,87.96680497925311,0.36853049509227276
79,83.81742738589212,0.38866445422172546
80,87.13692946058092,0.38825085246935487
81,82.15767634854772,0.4625223781913519
82,87.55186721991701,0.37576188519597054
83,82.36514522821577,0.39262668415904045
84,87.96680497925311,0.3450523813953623
85,82.98755186721992,0.4180028745904565
86,89.41908713692946,0.3239190756576136
87,84.43983402489627,0.3714798567816615
88,88.58921161825727,0.35610658559016883
89,84.64730290456431,0.35429393593221903
90,89.83402489626556,0.303965350612998
91,89.41908713692946,0.270878242328763
92,90.87136929460581,0.275180421769619
93,88.58921161825727,0.29030849877744913
94,90.04149377593362,0.28251264127902687
95,87.55186721991701,0.31261773128062487
96,90.45643153526972,0.295468901633285
97,89.2116182572614,0.2601222191005945
98,91.07883817427386,0.2720663221552968
99,87.96680497925311,0.2857182193547487
100,90.04149377593362,0.28535008418839425
