Communication Rounds,Global Accuracies,Global Losses
1,71.36929460580913,1.0434133112430573
2,76.97095435684648,0.845769077539444
3,79.87551867219916,0.7146810591220856
4,82.57261410788382,0.6347728595137596
5,84.02489626556017,0.5859853774309158
6,87.55186721991701,0.526232086122036
7,87.55186721991701,0.5005844682455063
8,88.79668049792531,0.45827098935842514
9,88.79668049792531,0.44848207384347916
10,89.00414937759336,0.41483504325151443
11,90.66390041493776,0.4121158793568611
12,91.49377593360995,0.3712099939584732
13,90.66390041493776,0.3594682291150093
14,91.28630705394191,0.3586750328540802
15,90.87136929460581,0.3269430920481682
