Communication Rounds,Global Accuracies,Global Losses
1,76.14107883817428,0.6934183314442635
2,90.24896265560166,0.4471919350326061
3,95.02074688796681,0.30671209283173084
4,97.0954356846473,0.21963772736489773
5,97.9253112033195,0.16810928750783205
6,97.9253112033195,0.1335214376449585
7,98.13278008298755,0.11087329965084791
8,98.34024896265561,0.09491709200665355
9,98.34024896265561,0.08413510676473379
10,98.34024896265561,0.0772439418360591
11,98.54771784232365,0.07120079756714404
12,98.54771784232365,0.06676679034717381
13,98.54771784232365,0.06398483109660447
14,98.54771784232365,0.06075227749533951
15,98.54771784232365,0.058475809870287776
