Communication Rounds,Global Accuracies,Global Losses
1,60.16597510373444,1.231085479259491
2,66.80497925311204,0.9321969300508499
3,73.65145228215768,0.765946589410305
4,77.80082987551867,0.6564062237739563
5,81.95020746887967,0.5696957036852837
6,84.85477178423237,0.502743773162365
7,86.30705394190872,0.46180179715156555
8,87.75933609958506,0.4166671559214592
9,88.58921161825727,0.39832577109336853
10,89.6265560165975,0.3496476449072361
11,90.66390041493776,0.3211589530110359
12,90.45643153526972,0.3041655570268631
13,90.66390041493776,0.28004686161875725
14,91.70124481327801,0.2639317698776722
15,93.3609958506224,0.2284225057810545
