Communication Rounds,Global Accuracies,Global Losses
1,60.995850622406635,1.2240100651979446
2,74.06639004149378,0.9064165651798248
3,78.00829875518673,0.7388051599264145
4,81.53526970954357,0.6294446438550949
5,82.57261410788382,0.5614763051271439
6,85.68464730290457,0.4919864535331726
7,85.06224066390041,0.4483237564563751
8,89.41908713692946,0.3950864002108574
9,91.28630705394191,0.36281341686844826
10,91.07883817427386,0.31794625893235207
11,92.32365145228216,0.30238736793398857
12,93.7759336099585,0.2598400339484215
13,94.19087136929461,0.25007784739136696
14,95.22821576763485,0.2176213376224041
15,95.4356846473029,0.19812737219035625
