Communication Rounds,Global Accuracies,Global Losses
1,52.697095435684645,1.3382043093442917
2,65.76763485477179,1.025697112083435
3,74.89626556016597,0.8102007955312729
4,80.08298755186722,0.6629217937588692
5,82.15767634854772,0.5609590336680412
6,84.85477178423237,0.498265340924263
7,82.98755186721992,0.4678428880870342
8,86.51452282157676,0.39157725498080254
9,88.79668049792531,0.3542216867208481
10,90.45643153526972,0.3114623986184597
11,91.70124481327801,0.2824196442961693
12,92.32365145228216,0.26198737137019634
13,94.60580912863071,0.23233252950012684
14,93.7759336099585,0.22009259834885597
15,94.60580912863071,0.19314967840909958
